mjd,x,y,ut1_utc
53315,.2080,.3493,-.47086
53316,.2080,.3467,-.47152
53317,.2081,.3444,-.47242
53318,.2082,.3427,-.47356
53319,.2080,.3408,-.47486
53320,.2082,.3390,-.47617
53321,.2078,.3365,-.47735
53322,.2082,.3344,-.47835
53323,.2079,.3317,-.47911
53324,.2077,.3293,-.47941
53325,.2075,.3266,-.47983
53326,.2073,.3244,-.48020
53327,.2070,.3218,-.48068
53328,.2068,.3198,-.48138
53329,.2060,.3178,-.48230
53330,.2059,.3152,-.48340
53331,.2050,.3132,-.48453
53332,.2043,.3111,-.48564
53333,.2032,.3088,-.48662
53334,.2018,.3066,-.48736
53335,.2007,.3042,-.48790
53336,.1998,.3019,-.48825
53337,.1997,.2997,-.48844
53338,.1992,.2978,-.48848
53339,.1986,.2957,-.48838
53340,.1974,.2934,-.48828
53341,.1960,.2911,-.48833
53342,.1940,.2887,-.48874
53343,.1923,.2863,-.48918
53344,.1906,.2843,-.48980
53375,.1480,.2331,-.50674
53376,.1469,.2316,-.50740
53377,.1451,.2297,-.50787
53378,.1435,.2278,-.50818
53379,.1419,.2267,-.50831
53380,.1400,.2254,-.50858
53381,.1374,.2243,-.50879
53382,.1354,.2230,-.50933
53383,.1336,.2218,-.51020
53384,.1320,.2208,-.51129
53385,.1301,.2196,-.51245
53386,.1287,.2183,-.51370
53387,.1274,.2172,-.51473
53388,.1258,.2162,-.51568
53389,.1242,.2155,-.51641
53390,.1216,.2151,-.51690
53391,.1193,.2139,-.51723
53392,.1172,.2132,-.51742
53393,.1146,.2122,-.51751
53394,.1125,.2114,-.51753
53395,.1101,.2104,-.51758
53396,.1077,.2095,-.51773
53397,.1055,.2090,-.51799
53398,.1032,.2089,-.51844
53399,.1008,.2088,-.51907
53400,.0975,.2087,-.51968
53401,.0947,.2080,-.52037
53402,.0921,.2084,-.52119
53403,.0892,.2074,-.52190
53404,.0867,.2069,-.52243
53405,.0839,.2060,-.52275
53406,.0816,.2059,-.52298
53407,.0789,.2056,-.52312
53408,.0761,.2058,-.52371
53409,.0732,.2053,-.52407
53410,.0700,.2050,-.52490
53411,.0669,.2041,-.52604
53412,.0641,.2036,-.52746
53413,.0617,.2031,-.52902
53414,.0592,.2029,-.53058
53415,.0575,.2030,-.53188
53416,.0546,.2033,-.53298
53417,.0521,.2030,-.53375
53418,.0483,.2028,-.53429
53419,.0459,.2031,-.53470
53420,.0424,.2037,-.53512
53421,.0405,.2044,-.53568
53422,.0376,.2051,-.53630
53423,.0357,.2056,-.53711
53424,.0332,.2060,-.53809
53425,.0318,.2060,-.53929
53426,.0303,.2066,-.54071
53427,.0294,.2074,-.54229
53428,.0277,.2085,-.54407
53429,.0259,.2097,-.54571
53430,.0241,.2111,-.54734
53431,.0219,.2127,-.54883
53432,.0194,.2140,-.55010
53433,.0172,.2149,-.55122
53434,.0152,.2157,-.55221
53435,.0128,.2165,-.55322
53436,.0106,.2169,-.55402
53437,.0089,.2177,-.55522
53438,.0067,.2185,-.55651
53439,.0049,.2193,-.55789
53440,.0024,.2203,-.55938
53441,.0007,.2210,-.56090
53442,-.0015,.2221,-.56230
53443,-.0025,.2222,-.56338
53444,-.0036,.2232,-.56415
53445,-.0056,.2232,-.56458
53446,-.0067,.2236,-.56476
53447,-.0080,.2238,-.56481
53448,-.0089,.2247,-.56484
53449,-.0098,.2257,-.56497
53450,-.0106,.2268,-.56509
53451,-.0118,.2281,-.56544
53452,-.0131,.2299,-.56602
53453,-.0153,.2319,-.56688
53454,-.0165,.2327,-.56793
53455,-.0177,.2346,-.56910
53456,-.0192,.2357,-.57028
53457,-.0207,.2380,-.57138
53458,-.0226,.2388,-.57232
53459,-.0246,.2404,-.57299
53460,-.0268,.2408,-.57336
53461,-.0286,.2427,-.57353
53462,-.0307,.2435,-.57360
53463,-.0323,.2450,-.57384
53464,-.0334,.2453,-.57432
53465,-.0343,.2460,-.57508
53466,-.0350,.2461,-.57605
53467,-.0355,.2480,-.57723
53468,-.0367,.2498,-.57852
53469,-.0383,.2523,-.57976
53470,-.0407,.2537,-.58085
53471,-.0424,.2552,-.58162
53472,-.0442,.2566,-.58207
53473,-.0453,.2585,-.58234
53474,-.0461,.2603,-.58259
53475,-.0466,.2622,-.58284
53476,-.0479,.2646,-.58317
53477,-.0493,.2670,-.58367
53478,-.0510,.2693,-.58432
53479,-.0523,.2715,-.58515
53480,-.0537,.2740,-.58617
53481,-.0549,.2762,-.58739
53482,-.0557,.2784,-.58877
53483,-.0568,.2806,-.59016
53484,-.0576,.2831,-.59166
53485,-.0584,.2850,-.59288
53486,-.0587,.2867,-.59404
53487,-.0587,.2884,-.59490
53488,-.0585,.2902,-.59552
53489,-.0578,.2922,-.59595
53490,-.0573,.2946,-.59650
53491,-.0572,.2973,-.59713
53492,-.0578,.2999,-.59800
53493,-.0590,.3019,-.59911
53494,-.0599,.3037,-.60043
53495,-.0606,.3057,-.60185
53496,-.0608,.3076,-.60320
53497,-.0607,.3095,-.60440
53498,-.0606,.3113,-.60541
53499,-.0607,.3129,-.60621
53500,-.0609,.3145,-.60679
53501,-.0613,.3159,-.60718
53502,-.0620,.3173,-.60747
53503,-.0631,.3187,-.60768
53504,-.0645,.3201,-.60791
53505,-.0658,.3216,-.60829
53506,-.0667,.3232,-.60885
53507,-.0675,.3248,-.60957
53508,-.0683,.3262,-.61041
53509,-.0691,.3276,-.61136
53510,-.0700,.3290,-.61239
53511,-.0706,.3304,-.61336
53512,-.0709,.3320,-.61422
53513,-.0712,.3337,-.61486
53514,-.0714,.3353,-.61514
53515,-.0713,.3371,-.61512
53516,-.0703,.3390,-.61488
53517,-.0690,.3413,-.61457
53518,-.0680,.3435,-.61439
53519,-.0671,.3456,-.61450
53520,-.0659,.3477,-.61486
53521,-.0645,.3495,-.61541
53522,-.0629,.3509,-.61610
53523,-.0616,.3524,-.61682
53524,-.0605,.3542,-.61737
53525,-.0599,.3562,-.61767
53526,-.0595,.3580,-.61778
53527,-.0591,.3595,-.61767
53528,-.0586,.3609,-.61731
53529,-.0582,.3621,-.61684
53530,-.0576,.3631,-.61626
53531,-.0566,.3646,-.61575
53532,-.0554,.3666,-.61533
53533,-.0543,.3687,-.61508
53534,-.0532,.3708,-.61491
53535,-.0525,.3729,-.61491
53536,-.0520,.3747,-.61507
53537,-.0514,.3762,-.61538
53538,-.0505,.3776,-.61578
53539,-.0495,.3792,-.61613
53540,-.0483,.3809,-.61633
53541,-.0471,.3825,-.61627
53542,-.0462,.3841,-.61595
53543,-.0455,.3857,-.61545
53544,-.0450,.3870,-.61497
53545,-.0444,.3881,-.61459
53546,-.0437,.3894,-.61440
53547,-.0428,.3905,-.61454
53548,-.0415,.3916,-.61482
53549,-.0404,.3931,-.61513
53550,-.0399,.3946,-.61538
53551,-.0399,.3958,-.61552
53552,-.0398,.3968,-.61546
53553,-.0393,.3977,-.61510
53554,-.0384,.3987,-.61447
53555,-.0374,.3997,-.61356
53556,-.0362,.4010,-.61252
53557,-.0345,.4026,-.61145
53558,-.0327,.4044,-.61047
53559,-.0312,.4060,-.60961
53560,-.0299,.4072,-.60892
53561,-.0285,.4079,-.60832
53562,-.0275,.4086,-.60802
53563,-.0266,.4092,-.60784
53564,-.0256,.4100,-.60773
53565,-.0243,.4111,-.60775
53566,-.0229,.4124,-.60768
53567,-.0216,.4135,-.60746
53568,-.0203,.4142,-.60714
53569,-.0196,.4146,-.60650
53570,-.0190,.4150,-.60570
53571,-.0183,.4151,-.60484
53572,-.0168,.4154,-.60404
53573,-.0152,.4161,-.60341
53574,-.0139,.4169,-.60315
53575,-.0129,.4177,-.60325
53576,-.0120,.4185,-.60363
53577,-.0111,.4190,-.60414
53578,-.0102,.4194,-.60456
53579,-.0091,.4199,-.60483
53580,-.0081,.4200,-.60487
53581,-.0063,.4202,-.60469
53582,-.0044,.4206,-.60423
53583,-.0028,.4210,-.60364
53584,-.0012,.4213,-.60302
53585,.0009,.4215,-.60238
53586,.0031,.4218,-.60177
53587,.0049,.4221,-.60126
53588,.0067,.4224,-.60096
53589,.0088,.4228,-.60089
53590,.0111,.4233,-.60105
