mjd,x,x_err,y,y_err,ut1_utc,ut1_utc_err
53370,.14997,.00004,.23922,.00010,-.503200,.000015
53371,.14914,.00004,.23786,.00009,-.503654,.000013
53372,.14871,.00004,.23670,.00008,-.504272,.000012
53373,.14865,.00004,.23568,.00007,-.505030,.000010
53374,.14844,.00003,.23461,.00006,-.505870,.000005
53375,.14793,.00003,.23323,.00006,-.506694,.000005
53376,.14701,.00003,.23163,.00006,-.507418,.000005
53377,.14514,.00006,.22977,.00006,-.507920,.000014
53378,.14347,.00006,.22798,.00006,-.508199,.000013
53379,.14189,.00005,.22664,.00006,-.508360,.000010
53380,.13985,.00004,.22550,.00005,-.508519,.000008
53381,.13735,.00004,.22431,.00004,-.508815,.000006
53382,.13518,.00004,.22306,.00003,-.509358,.000006
53383,.13367,.00003,.22196,.00003,-.510222,.000006
53384,.13179,.00005,.22090,.00004,-.511273,.000010
53385,.13000,.00005,.21970,.00004,-.512456,.000010
53386,.12859,.00005,.21842,.00005,-.513648,.000011
53387,.12732,.00003,.21724,.00004,-.514747,.000013
53388,.12582,.00003,.21624,.00003,-.515686,.000013
53389,.12395,.00003,.21557,.00003,-.516412,.000012
53390,.12175,.00003,.21511,.00003,-.516883,.000013
53391,.11927,.00007,.21409,.00004,-.517173,.000012
53392,.11706,.00008,.21320,.00004,-.517360,.000012
53393,.11469,.00008,.21232,.00004,-.517462,.000012
53394,.11233,.00007,.21141,.00004,-.517519,.000008
53395,.10998,.00007,.21049,.00004,-.517563,.000007
53396,.10764,.00007,.20964,.00004,-.517680,.000007
53397,.10545,.00007,.20908,.00004,-.517986,.000006
53405,.08390,.00006,.20621,.00004,-.522761,.000018
53406,.08146,.00006,.20588,.00003,-.522955,.000017
53407,.07887,.00006,.20577,.00003,-.523196,.000017
53408,.07607,.00005,.20567,.00003,-.523555,.000020
53409,.07306,.00005,.20541,.00002,-.524087,.000019
53410,.06990,.00005,.20491,.00002,-.524905,.000018
53411,.06681,.00005,.20431,.00002,-.526106,.000019
53412,.06406,.00007,.20361,.00007,-.527453,.000011
53413,.06152,.00007,.20316,.00006,-.529015,.000011
53414,.05926,.00007,.20294,.00005,-.530525,.000013
53415,.05723,.00006,.20305,.00004,-.531852,.000015
53416,.05475,.00005,.20316,.00004,-.532926,.000015
53417,.05177,.00005,.20301,.00004,-.533717,.000014
53418,.04848,.00005,.20287,.00003,-.534260,.000014
53419,.04548,.00007,.20309,.00005,-.534686,.000012
53420,.04266,.00006,.20369,.00005,-.535130,.000013
53421,.04013,.00006,.20441,.00005,-.535670,.000013
53422,.03769,.00004,.20509,.00004,-.536305,.000013
53423,.03544,.00004,.20566,.00003,-.537111,.000013
53424,.03334,.00003,.20601,.00003,-.538095,.000013
53425,.03137,.00003,.20606,.00003,-.539296,.000012
53426,.03037,.00004,.20658,.00006,-.540692,.000011
53427,.02925,.00005,.20743,.00006,-.542307,.000022
53428,.02768,.00004,.20849,.00006,-.544055,.000021
53429,.02586,.00004,.20972,.00005,-.545739,.000022
53430,.02402,.00003,.21117,.00005,-.547338,.000018
53431,.02183,.00003,.21270,.00005,-.548806,.000017
53432,.01937,.00002,.21407,.00005,-.550052,.000013
53433,.01718,.00005,.21504,.00005,-.551213,.000005
53434,.01509,.00005,.21584,.00004,-.552197,.000010
53435,.01275,.00005,.21645,.00005,-.553144,.000010
53436,.01061,.00004,.21698,.00004,-.554111,.000013
53437,.00875,.00003,.21768,.00004,-.555207,.000013
53438,.00682,.00002,.21850,.00003,-.556463,.000013
53439,.00477,.00002,.21940,.00003,-.557940,.000013
53440,.00248,.00004,.22022,.00006,-.559394,.000006
53441,.00042,.00005,.22111,.00006,-.560912,.000012
53442,-.00139,.00005,.22190,.00005,-.562292,.000014
53443,-.00260,.00004,.22249,.00005,-.563389,.000015
53444,-.00384,.00003,.22295,.00004,-.564148,.000015
53445,-.00546,.00003,.22324,.00002,-.564576,.000016
53446,-.00698,.00003,.22347,.00002,-.564820,.000017
53447,-.00808,.00005,.22392,.00004,-.564807,.000009
53448,-.00905,.00005,.22467,.00004,-.564847,.000009
53449,-.00982,.00005,.22566,.00005,-.564942,.000009
53450,-.01073,.00004,.22678,.00005,-.565122,.000012
53451,-.01180,.00004,.22822,.00005,-.565453,.000012
53452,-.01328,.00004,.23003,.00005,-.566024,.000011
53453,-.01525,.00004,.23174,.00005,-.566877,.000011
53454,-.01664,.00007,.23295,.00006,-.567965,.000010
53455,-.01783,.00007,.23439,.00006,-.569140,.000012
53456,-.01922,.00006,.23604,.00004,-.570310,.000013
53457,-.02080,.00005,.23767,.00003,-.571387,.000022
53458,-.02262,.00005,.23901,.00003,-.572277,.000023
53459,-.02470,.00003,.24006,.00003,-.572917,.000025
53460,-.02688,.00003,.24103,.00003,-.573274,.000027
53461,-.02874,.00003,.24249,.00010,-.573526,.000007
53462,-.03072,.00002,.24379,.00006,-.573630,.000008
53463,-.03239,.00003,.24480,.00005,-.573886,.000008
53464,-.03350,.00002,.24547,.00005,-.574364,.000008
53465,-.03444,.00002,.24586,.00004,-.575110,.000007
53466,-.03505,.00002,.24646,.00004,-.576094,.000008
53467,-.03549,.00002,.24756,.00004,-.577260,.000007
53468,-.03668,.00009,.24998,.00008,-.578510,.000007
53469,-.03844,.00007,.25210,.00006,-.579755,.000009
53470,-.04060,.00007,.25377,.00004,-.580797,.000010
53471,-.04251,.00006,.25517,.00003,-.581543,.000012
53472,-.04417,.00004,.25668,.00002,-.582010,.000012
53473,-.04539,.00003,.25842,.00002,-.582290,.000015
53474,-.04624,.00002,.26027,.00001,-.582487,.000014
53475,-.04677,.00004,.26221,.00004,-.582836,.000009
53476,-.04789,.00005,.26453,.00004,-.583158,.000010
53477,-.04939,.00004,.26694,.00003,-.583614,.000009
53478,-.05099,.00004,.26927,.00002,-.584258,.000009
53479,-.05249,.00004,.27159,.00002,-.585109,.000009
53480,-.05385,.00004,.27391,.00002,-.586140,.000009
53481,-.05504,.00004,.27611,.00002,-.587422,.000010
53482,-.05578,.00005,.27836,.00004,-.588758,.000018
53483,-.05677,.00005,.28069,.00005,-.590194,.000018
53484,-.05767,.00005,.28303,.00005,-.591617,.000020
53485,-.05839,.00004,.28500,.00004,-.592917,.000020
53486,-.05881,.00004,.28667,.00004,-.594017,.000020
53487,-.05882,.00003,.28833,.00004,-.594857,.000019
53488,-.05856,.00003,.29012,.00004,-.595498,.000015
53489,-.05785,.00005,.29226,.00006,-.595964,.000014
53490,-.05729,.00006,.29464,.00006,-.596449,.000016
53491,-.05724,.00006,.29731,.00004,-.597089,.000018
53492,-.05785,.00005,.29982,.00003,-.597974,.000019
53493,-.05898,.00005,.30190,.00003,-.599100,.000019
53494,-.05998,.00004,.30380,.00003,-.600442,.000019
53495,-.06055,.00004,.30568,.00003,-.601840,.000020
53496,-.06092,.00006,.30758,.00005,-.603194,.000010
53497,-.06075,.00008,.30952,.00005,-.604423,.000014
53498,-.06064,.00007,.31130,.00005,-.605480,.000015
53499,-.06068,.00006,.31292,.00004,-.606287,.000014
53500,-.06088,.00005,.31448,.00004,-.606838,.000012
53501,-.06129,.00006,.31593,.00003,-.607193,.000013
53502,-.06201,.00005,.31727,.00002,-.607518,.000013
53503,-.06307,.00004,.31872,.00005,-.607667,.000015
53504,-.06447,.00003,.32008,.00005,-.607951,.000017
53505,-.06577,.00003,.32156,.00005,-.608356,.000016
53506,-.06674,.00002,.32322,.00004,-.608896,.000014
53507,-.06749,.00002,.32477,.00003,-.609608,.000012
53508,-.06833,.00002,.32619,.00002,-.610456,.000010
53509,-.06912,.00002,.32748,.00002,-.611447,.000010
53510,-.07000,.00003,.32895,.00006,-.612405,.000011
53511,-.07061,.00003,.33042,.00004,-.613367,.000013
53512,-.07095,.00003,.33199,.00004,-.614223,.000013
53513,-.07122,.00003,.33368,.00003,-.614853,.000015
53514,-.07141,.00003,.33536,.00003,-.615136,.000016
53515,-.07135,.00003,.33709,.00002,-.615096,.000014
53516,-.07064,.00003,.33893,.00002,-.614917,.000014
53517,-.06900,.00003,.34126,.00006,-.614547,.000019
53518,-.06802,.00003,.34347,.00007,-.614401,.000019
53519,-.06712,.00003,.34558,.00007,-.614515,.000018
53520,-.06596,.00002,.34766,.00006,-.614865,.000018
53521,-.06451,.00002,.34944,.00006,-.615436,.000017
53522,-.06297,.00002,.35087,.00006,-.616140,.000016
53523,-.06159,.00002,.35225,.00006,-.616884,.000015
53524,-.06051,.00004,.35421,.00006,-.617394,.000021
53525,-.05989,.00004,.35621,.00006,-.617683,.000020
53526,-.05953,.00004,.35800,.00005,-.617765,.000020
53527,-.05912,.00003,.35953,.00003,-.617645,.000020
53528,-.05864,.00003,.36088,.00003,-.617328,.000021
